SKU,Hero Image,URL,Product Type,MSRP,Title,Decription,Collection,Metal Type1,Metal Type2,Metal Type 3,GemType1,GemType2,GemType3,GemType4
PAB7040_O6WHR_DB0TB,https://media.pomellato.com/media/catalog/product/P/A/PAB7040_O6WHR_DB0TB_10.jpg,https://www.pomellato.com/us_en/nudo-petit-ring-pab7040-o6whr-db0tb?size=18,Ring,4250,Nudo Petit Ring,,Nudo,18k Rose Gold,18k White Gold,,White Topaz,Diamond,,
PCC2022_O6WHR_BTBMP,https://media.pomellato.com/media/catalog/product/P/C/PCC2022_O6WHR_BTBMP_10.jpg,https://www.pomellato.com/us_en/nudo-classic-necklace-with-pendant-pcc2022-o6whr-btbmp?size=154,Necklace,3550,Nudo Classic Necklace with Pendant,,Nudo,18k White Gold,18k Rose Gold,,White Topaz,Mother-Of-Pearl,Diamond,
POC2025_O7WHR_BTBMP,https://media.pomellato.com/media/catalog/product/P/O/POC2025_O7WHR_BTBMP_10.jpg,https://www.pomellato.com/us_en/nudo-earrings-poc2025-o7whr-btbmp?size=152,Earrings,8650,Nudo Earrings,,Nudo,18k Rose Gold,,,White Topaz,Mother-Of-Pearl,Diamond,
PAA1100_O6000_000TB,https://media.pomellato.com/media/catalog/product/P/A/PAA1100_O6000_000TB_10.jpg,https://www.pomellato.com/us_en/nudo-classic-ring-paa1100-o6000-000tb?size=18,Ring,2600,Nudo Classic Ring,,Nudo,18k Rose Gold,18k White Gold,,White Topaz,,,
PA91060_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PA91060_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-medium-ring-pa91060-o7000-db000?size=19,Ring,6050,Iconica Medium Ring,,Iconica,18k Rose Gold,,,Diamond,,,
POC2063_O7WHR_DB000,https://media.pomellato.com/media/catalog/product/P/O/POC2063_O7WHR_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-earrings-poc2063-o7whr-db000?size=152,Earrings,27600,Iconica Earrings,,Iconica,18k Rose Gold,,,Diamond,,,
PAB7120_O7000_DB000,https://media.pomellato.com/media/catalog/product/P/A/PAB7120_O7000_DB000_10.jpg,https://www.pomellato.com/us_en/iconica-ring-pab7120-o7000-db000?size=18,Ring,6650,Iconica Ring,,Iconica,18k Rose Gold,,,Diamond,,,
PAB6070_O7000_DBX00,https://media.pomellato.com/media/catalog/product/P/A/PAB6070_O7000_DBX00_10.jpg,https://www.pomellato.com/us_en/sabbia-ring-pab6070-o7000-dbx00?size=18,Ring,10100,Sabbia Ring,,Sabbia,18k Rose Gold,,,Diamond,Brown Diamond,,
PMB6070_O7000_DBX00,https://media.pomellato.com/media/catalog/product/P/M/PMB6070_O7000_DBX00_10.jpg,https://www.pomellato.com/us_en/sabbia-pendant-pmb6070-o7000-dbx00?size=152,Pendant,14400,Sabbia Pendant,,Sabbia,18k Rose Gold,,,Diamond,Brown Diamond,,
PA91067_O7000_00000,https://media.pomellato.com/media/catalog/product/P/A/PA91067_O7000_00000_10.jpg,https://www.pomellato.com/us_en/iconica-large-ring-pa91067-o7000-00000?size=18,Ring,4150,Iconica Large Ring,,Iconica,18k Rose Gold,,,,,,
